adduser	3.137ubuntu1
ros-jazzy-compressed-depth-image-transport	4.0.6-1noble.20260412.053601
ros-jazzy-compressed-image-transport	4.0.6-1noble.20260412.053636
ros-jazzy-console-bridge-vendor	1.7.1-3noble.20260225.232019
ros-jazzy-control-msgs	5.9.0-1noble.20260412.040109
ros-jazzy-control-toolbox	4.10.0-1noble.20260412.053928
ros-jazzy-controller-interface	4.44.0-1noble.20260412.063301
ros-jazzy-controller-manager	4.44.0-1noble.20260412.063942
ros-jazzy-controller-manager-msgs	4.44.0-1noble.20260412.034249
ros-jazzy-cv-bridge	4.1.0-1noble.20260615.144656
ros-jazzy-demo-nodes-cpp	0.33.10-1noble.20260412.044049
ros-jazzy-demo-nodes-cpp-native	0.33.10-1noble.20260412.044602
ros-jazzy-demo-nodes-py	0.33.10-1noble.20260412.042524
ros-jazzy-depthimage-to-laserscan	2.5.1-3noble.20260412.051904
ros-jazzy-desktop	0.11.0-1noble.20260412.072512
ros-jazzy-diagnostic-msgs	5.3.7-1noble.20260412.034614
ros-jazzy-diagnostic-updater	4.2.6-1noble.20260412.045349
ros-jazzy-diff-drive-controller	4.39.0-1noble.20260412.063951
ros-jazzy-domain-coordinator	0.12.0-3noble.20260225.051359
ros-jazzy-dummy-map-server	0.33.10-1noble.20260412.051842
ros-jazzy-dummy-robot-bringup	0.33.10-1noble.20260412.052140
ros-jazzy-dummy-sensors	0.33.10-1noble.20260412.051906
ros-jazzy-effort-controllers	4.39.0-1noble.20260412.065511
ros-jazzy-eigen-stl-containers	1.1.0-1noble.20260225.233822
ros-jazzy-eigen3-cmake-module	0.3.0-3noble.20260225.233716
ros-jazzy-example-interfaces	0.12.0-3noble.20260412.032829
ros-jazzy-examples-rclcpp-minimal-action-client	0.19.7-1noble.20260412.051021
ros-jazzy-examples-rclcpp-minimal-action-server	0.19.7-1noble.20260412.051019
ros-jazzy-examples-rclcpp-minimal-client	0.19.7-1noble.20260412.051022
ros-jazzy-examples-rclcpp-minimal-composition	0.19.7-1noble.20260412.045356
ros-jazzy-examples-rclcpp-minimal-publisher	0.19.7-1noble.20260412.045354
ros-jazzy-examples-rclcpp-minimal-service	0.19.7-1noble.20260412.051024
ros-jazzy-examples-rclcpp-minimal-subscriber	0.19.7-1noble.20260412.045426
ros-jazzy-examples-rclcpp-minimal-timer	0.19.7-1noble.20260412.052718
ros-jazzy-examples-rclcpp-multithreaded-executor	0.19.7-1noble.20260412.045432
ros-jazzy-examples-rclpy-executors	0.19.7-1noble.20260412.042551
ros-jazzy-examples-rclpy-minimal-action-client	0.19.7-1noble.20260412.042555
ros-jazzy-examples-rclpy-minimal-action-server	0.19.7-1noble.20260412.042203
ros-jazzy-examples-rclpy-minimal-client	0.19.7-1noble.20260412.042556
ros-jazzy-examples-rclpy-minimal-publisher	0.19.7-1noble.20260412.042601
ros-jazzy-examples-rclpy-minimal-service	0.19.7-1noble.20260412.042602
ros-jazzy-examples-rclpy-minimal-subscriber	0.19.7-1noble.20260412.042605
ros-jazzy-fastcdr	2.2.7-1noble.20260225.051855
ros-jazzy-fastrtps	2.14.6-1noble.20260303.233638
ros-jazzy-fastrtps-cmake-module	3.6.3-1noble.20260225.234436
ros-jazzy-filters	2.2.2-1noble.20260412.042704
ros-jazzy-foonathan-memory-vendor	1.3.1-3noble.20260225.055155
ros-jazzy-force-torque-sensor-broadcaster	4.39.0-1noble.20260412.064724
ros-jazzy-forward-command-controller	4.39.0-1noble.20260412.064726
ros-jazzy-generate-parameter-library	0.7.1-1noble.20260412.053405
ros-jazzy-generate-parameter-library-py	0.7.1-1noble.20260323.095134
ros-jazzy-geometric-shapes	2.3.2-1noble.20260412.042659
ros-jazzy-geometry-msgs	5.3.7-1noble.20260412.033928
ros-jazzy-geometry2	0.36.20-1noble.20260412.060249
ros-jazzy-gmock-vendor	1.14.9000-2noble.20260225.143751
ros-jazzy-google-benchmark-vendor	0.5.1-1noble.20260225.055256
ros-jazzy-gpio-controllers	4.39.0-1noble.20260412.064732
ros-jazzy-gps-msgs	2.1.2-1noble.20260412.033940
ros-jazzy-gps-sensor-broadcaster	4.39.0-1noble.20260412.065149
ros-jazzy-gripper-controllers	4.39.0-1noble.20260412.063950
ros-jazzy-gtest-vendor	1.14.9000-2noble.20260225.055309
ros-jazzy-gz-cmake-vendor	0.0.11-1noble.20260225.223100
ros-jazzy-gz-common-vendor	0.0.9-1noble.20260226.000703
ros-jazzy-gz-dartsim-vendor	0.0.3-1noble.20260225.232143
ros-jazzy-gz-fuel-tools-vendor	0.0.6-1noble.20260226.001605
ros-jazzy-gz-gui-vendor	0.0.5-1noble.20260226.010336
ros-jazzy-gz-math-vendor	0.0.8-1noble.20260225.232138
ros-jazzy-gz-msgs-vendor	0.0.6-1noble.20260225.232943
ros-jazzy-gz-ogre-next-vendor	0.0.5-1noble.20260225.232146
ros-jazzy-gz-physics-vendor	0.0.7-1noble.20260226.002542
ros-jazzy-gz-plugin-vendor	0.0.5-1noble.20260226.000520
ros-jazzy-gz-rendering-vendor	0.0.7-1noble.20260226.001618
ros-jazzy-gz-ros2-control	1.2.19-1noble.20260615.171757
ros-jazzy-gz-sensors-vendor	0.0.6-1noble.20260226.005904
ros-jazzy-gz-sim-vendor	0.0.10-1noble.20260318.175144
ros-jazzy-gz-tools-vendor	0.0.7-1noble.20260225.231255
ros-jazzy-gz-transport-vendor	0.0.7-1noble.20260225.234741
ros-jazzy-gz-utils-vendor	0.0.5-1noble.20260225.231257
ros-jazzy-hardware-interface	4.44.0-1noble.20260412.053318
ros-jazzy-image-geometry	4.1.0-1noble.20260412.040226
ros-jazzy-image-tools	0.33.10-1noble.20260412.045451
ros-jazzy-image-transport	5.1.7-1noble.20260412.043635
ros-jazzy-image-transport-plugins	4.0.6-1noble.20260412.070744
ros-jazzy-imu-sensor-broadcaster	4.39.0-1noble.20260412.065154
ros-jazzy-interactive-markers	2.5.5-1noble.20260412.054351
ros-jazzy-intra-process-demo	0.33.10-1noble.20260412.045501
ros-jazzy-joint-limits	4.44.0-1noble.20260412.053037
ros-jazzy-joint-state-broadcaster	4.39.0-1noble.20260412.065204
ros-jazzy-joint-state-publisher	2.4.1-1noble.20260412.042050
ros-jazzy-joint-state-publisher-gui	2.4.1-1noble.20260412.042300
ros-jazzy-joint-trajectory-controller	4.39.0-1noble.20260412.063953
ros-jazzy-joy	3.3.0-3noble.20260412.051931
ros-jazzy-kdl-parser	2.11.0-3noble.20260412.025844
ros-jazzy-keyboard-handler	0.3.2-1noble.20260225.235108
ros-jazzy-kinematics-interface	1.7.0-1noble.20260412.053227
ros-jazzy-laser-geometry	2.7.2-1noble.20260412.051842
ros-jazzy-launch	3.4.10-1noble.20260412.025232
ros-jazzy-launch-param-builder	0.1.1-4noble.20260412.042639
ros-jazzy-launch-ros	0.26.11-1noble.20260412.042642
ros-jazzy-launch-testing	3.4.10-1noble.20260412.025508
ros-jazzy-launch-testing-ament-cmake	3.4.10-1noble.20260412.025830
ros-jazzy-launch-testing-ros	0.26.11-1noble.20260412.043323
ros-jazzy-launch-xml	3.4.10-1noble.20260412.025343
ros-jazzy-launch-yaml	3.4.10-1noble.20260412.025341
ros-jazzy-libcurl-vendor	3.4.4-1noble.20260225.235243
ros-jazzy-liblz4-vendor	0.26.10-2noble.20260408.222020
ros-jazzy-libstatistics-collector	1.7.4-1noble.20260412.041007
ros-jazzy-libyaml-vendor	1.6.3-2noble.20260225.235345
ros-jazzy-lifecycle	0.33.10-1noble.20260412.045645
ros-jazzy-lifecycle-msgs	2.0.3-1noble.20260412.032912
ros-jazzy-logging-demo	0.33.10-1noble.20260412.044110
ros-jazzy-map-msgs	2.4.1-2noble.20260412.035524
ros-jazzy-marine-acoustic-msgs	2.1.0-2noble.20260412.035442
ros-jazzy-mcap-vendor	0.26.10-2noble.20260408.222435
ros-jazzy-mecanum-drive-controller	4.39.0-1noble.20260412.065209
ros-jazzy-message-filters	4.11.12-1noble.20260412.042737
ros-jazzy-moveit	2.12.4-1noble.20260617.161956
ros-jazzy-moveit-common	2.12.4-1noble.20260225.235600
ros-jazzy-moveit-configs-utils	2.12.4-1noble.20260412.053416
ros-jazzy-moveit-core	2.12.4-1noble.20260412.053952
ros-jazzy-moveit-kinematics	2.12.4-1noble.20260412.065216
ros-jazzy-moveit-msgs	2.6.0-1noble.20260412.041739
ros-jazzy-moveit-planners	2.12.4-1noble.20260412.073607
ros-jazzy-moveit-planners-chomp	2.12.4-1noble.20260412.063945
ros-jazzy-moveit-planners-ompl	2.12.4-1noble.20260412.065232
ros-jazzy-moveit-planners-stomp	2.12.4-1noble.20260412.061858
ros-jazzy-moveit-plugins	2.12.4-1noble.20260412.073600
ros-jazzy-moveit-resources-panda-description	3.1.0-1noble.20260225.235702
ros-jazzy-moveit-resources-panda-moveit-config	3.1.0-1noble.20260615.174424
ros-jazzy-moveit-ros	2.12.4-1noble.20260412.075256
ros-jazzy-moveit-ros-benchmarks	2.12.4-1noble.20260412.071926
ros-jazzy-moveit-ros-move-group	2.12.4-1noble.20260412.070722
ros-jazzy-moveit-ros-occupancy-map-monitor	2.12.4-1noble.20260412.060541
ros-jazzy-moveit-ros-planning	2.12.4-1noble.20260412.061458
ros-jazzy-moveit-ros-planning-interface	2.12.4-1noble.20260412.072305
ros-jazzy-moveit-ros-robot-interaction	2.12.4-1noble.20260412.065541
ros-jazzy-moveit-ros-visualization	2.12.4-1noble.20260412.073037
ros-jazzy-moveit-ros-warehouse	2.12.4-1noble.20260412.065555
ros-jazzy-moveit-servo	2.12.4-1noble.20260617.154301
ros-jazzy-moveit-setup-app-plugins	2.12.4-1noble.20260412.082330
ros-jazzy-moveit-setup-assistant	2.12.4-1noble.20260412.085049
ros-jazzy-moveit-setup-controllers	2.12.4-1noble.20260412.081203
ros-jazzy-moveit-setup-core-plugins	2.12.4-1noble.20260412.081346
ros-jazzy-moveit-setup-framework	2.12.4-1noble.20260412.075233
ros-jazzy-moveit-setup-srdf-plugins	2.12.4-1noble.20260412.081346
ros-jazzy-moveit-simple-controller-manager	2.12.4-1noble.20260412.061617
ros-jazzy-nav-msgs	5.3.7-1noble.20260412.034710
ros-jazzy-object-recognition-msgs	2.0.0-5noble.20260412.035902
ros-jazzy-octomap-msgs	2.0.1-1noble.20260412.035529
ros-jazzy-omni-wheel-drive-controller	4.39.0-1noble.20260412.065241
ros-jazzy-ompl	1.7.0-2noble.20260225.055751
ros-jazzy-orocos-kdl-vendor	0.5.1-2noble.20260225.234720
ros-jazzy-osqp-vendor	0.2.0-4noble.20260226.000013
ros-jazzy-osrf-pycommon	2.1.7-1noble.20260225.055811
ros-jazzy-pal-statistics	2.7.0-1noble.20260412.051247
ros-jazzy-pal-statistics-msgs	2.7.0-1noble.20260412.034107
ros-jazzy-parallel-gripper-controller	4.39.0-1noble.20260412.063954
ros-jazzy-parameter-traits	0.7.1-1noble.20260412.053054
ros-jazzy-pcl-conversions	2.6.4-1noble.20260412.045759
ros-jazzy-pcl-msgs	1.0.0-9noble.20260412.035559
ros-jazzy-pendulum-control	0.33.10-1noble.20260412.050614
ros-jazzy-pendulum-msgs	0.33.10-1noble.20260412.033002
ros-jazzy-pid-controller	4.39.0-1noble.20260412.063957
ros-jazzy-pilz-industrial-motion-planner	2.12.4-1noble.20260412.072051
ros-jazzy-pluginlib	5.4.5-1noble.20260412.025240
ros-jazzy-point-cloud-transport	4.0.7-1noble.20260412.043749
ros-jazzy-pose-broadcaster	4.39.0-1noble.20260412.065247
ros-jazzy-position-controllers	4.39.0-1noble.20260412.065512
ros-jazzy-pybind11-vendor	3.1.3-1noble.20260226.000033
ros-jazzy-python-cmake-module	0.11.1-2noble.20260226.000327
ros-jazzy-python-orocos-kdl-vendor	0.5.1-2noble.20260226.001217
ros-jazzy-python-qt-binding	2.2.2-1noble.20260226.000339
ros-jazzy-qt-dotgraph	2.7.6-1noble.20260330.190755
ros-jazzy-qt-gui	2.7.6-1noble.20260412.025229
ros-jazzy-qt-gui-cpp	2.7.6-1noble.20260412.025941
ros-jazzy-qt-gui-py-common	2.7.6-1noble.20260412.025229
ros-jazzy-quality-of-service-demo-cpp	0.33.10-1noble.20260412.050216
ros-jazzy-quality-of-service-demo-py	0.33.10-1noble.20260412.042122
ros-jazzy-random-numbers	2.0.1-5noble.20260225.225100
ros-jazzy-range-sensor-broadcaster	4.39.0-1noble.20260412.065248
ros-jazzy-rcl	9.2.9-1noble.20260412.040633
ros-jazzy-rcl-action	9.2.9-1noble.20260412.041043
ros-jazzy-rcl-interfaces	2.0.3-1noble.20260412.033104
ros-jazzy-rcl-lifecycle	9.2.9-1noble.20260412.040958
ros-jazzy-rcl-logging-interface	3.1.1-1noble.20260226.002403
ros-jazzy-rcl-logging-spdlog	3.1.1-1noble.20260226.003321
ros-jazzy-rcl-yaml-param-parser	9.2.9-1noble.20260226.005115
ros-jazzy-rclcpp	28.1.18-1noble.20260412.041931
ros-jazzy-rclcpp-action	28.1.18-1noble.20260412.042748
ros-jazzy-rclcpp-components	28.1.18-1noble.20260412.042656
ros-jazzy-rclcpp-lifecycle	28.1.18-1noble.20260412.042728
ros-jazzy-rclpy	7.1.11-1noble.20260412.041747
ros-jazzy-rcpputils	2.11.3-1noble.20260226.002359
ros-jazzy-rcutils	6.7.5-1noble.20260226.001538
ros-jazzy-realtime-tools	3.11.0-1noble.20260412.052804
ros-jazzy-resource-retriever	3.4.4-1noble.20260412.025343
ros-jazzy-rmw	7.3.3-1noble.20260226.004315
ros-jazzy-rmw-dds-common	3.1.1-1noble.20260412.033108
ros-jazzy-rmw-fastrtps-cpp	8.4.3-1noble.20260412.034154
ros-jazzy-rmw-fastrtps-shared-cpp	8.4.3-1noble.20260412.033316
ros-jazzy-rmw-implementation	2.15.6-1noble.20260412.040200
ros-jazzy-rmw-implementation-cmake	7.3.3-1noble.20260225.225156
ros-jazzy-robot-state-publisher	3.3.3-3noble.20260412.044622
ros-jazzy-ros-base	0.11.0-1noble.20260412.071950
ros-jazzy-ros-core	0.11.0-1noble.20260412.053408
ros-jazzy-ros-environment	4.2.1-1noble.20260225.043405
ros-jazzy-ros-gz	1.0.22-1noble.20260616.074726
ros-jazzy-ros-gz-bridge	1.0.22-1noble.20260412.043437
ros-jazzy-ros-gz-image	1.0.22-1noble.20260412.051928
ros-jazzy-ros-gz-interfaces	1.0.22-1noble.20260412.034812
ros-jazzy-ros-gz-sim	1.0.22-1noble.20260412.044601
ros-jazzy-ros-gz-sim-demos	1.0.22-1noble.20260412.072030
ros-jazzy-ros-workspace	1.0.3-7noble.20260224.191628
ros-jazzy-ros2-control	4.45.2-1noble.20260615.175135
ros-jazzy-ros2-control-cmake	0.4.0-1noble.20260429.101922
ros-jazzy-ros2-control-test-assets	4.44.0-1noble.20260403.074054
ros-jazzy-ros2-controllers	4.40.1-1noble.20260616.074625
ros-jazzy-ros2action	0.32.9-1noble.20260412.053021
ros-jazzy-ros2bag	0.26.10-2noble.20260412.065702
ros-jazzy-ros2cli	0.32.9-1noble.20260412.042300
ros-jazzy-ros2cli-common-extensions	0.3.1-1noble.20260412.053337
ros-jazzy-ros2component	0.32.9-1noble.20260412.052519
ros-jazzy-ros2controlcli	4.44.0-1noble.20260412.065523
ros-jazzy-ros2doctor	0.32.9-1noble.20260412.042619
ros-jazzy-ros2interface	0.32.9-1noble.20260412.042621
ros-jazzy-ros2launch	0.26.11-1noble.20260412.043200
ros-jazzy-ros2lifecycle	0.32.9-1noble.20260412.052446
ros-jazzy-ros2multicast	0.32.9-1noble.20260412.053041
ros-jazzy-ros2node	0.32.9-1noble.20260412.042626
ros-jazzy-ros2param	0.32.9-1noble.20260412.052450
ros-jazzy-ros2pkg	0.32.9-1noble.20260412.042622
ros-jazzy-ros2plugin	5.4.5-1noble.20260412.042739
ros-jazzy-ros2run	0.32.9-1noble.20260412.053103
ros-jazzy-ros2service	0.32.9-1noble.20260412.052412
ros-jazzy-ros2topic	0.32.9-1noble.20260412.042628
ros-jazzy-rosbag2	0.26.10-2noble.20260412.070736
ros-jazzy-rosbag2-compression	0.26.10-2noble.20260412.053554
ros-jazzy-rosbag2-compression-zstd	0.26.10-2noble.20260412.054126
ros-jazzy-rosbag2-cpp	0.26.10-2noble.20260412.043347
ros-jazzy-rosbag2-interfaces	0.26.10-2noble.20260412.033118
ros-jazzy-rosbag2-py	0.26.10-2noble.20260412.060353
ros-jazzy-rosbag2-storage	0.26.10-2noble.20260412.042713
ros-jazzy-rosbag2-storage-default-plugins	0.26.10-2noble.20260412.065628
ros-jazzy-rosbag2-storage-mcap	0.26.10-2noble.20260412.043351
ros-jazzy-rosbag2-storage-sqlite3	0.26.10-2noble.20260412.043751
ros-jazzy-rosbag2-transport	0.26.10-2noble.20260412.054424
ros-jazzy-rosgraph-msgs	2.0.3-1noble.20260412.033127
ros-jazzy-rosidl-adapter	4.6.7-1noble.20260225.225255
ros-jazzy-rosidl-cli	4.6.7-1noble.20260225.142152
ros-jazzy-rosidl-cmake	4.6.7-1noble.20260226.001208
ros-jazzy-rosidl-core-generators	0.2.1-1noble.20260412.030913
ros-jazzy-rosidl-core-runtime	0.2.1-1noble.20260412.030912
ros-jazzy-rosidl-default-generators	1.6.0-3noble.20260412.032513
ros-jazzy-rosidl-default-runtime	1.6.0-3noble.20260412.032511
ros-jazzy-rosidl-dynamic-typesupport	0.1.2-3noble.20260226.003402
ros-jazzy-rosidl-dynamic-typesupport-fastrtps	0.1.0-3noble.20260304.002637
ros-jazzy-rosidl-generator-c	4.6.7-1noble.20260412.025459
ros-jazzy-rosidl-generator-cpp	4.6.7-1noble.20260412.025832
ros-jazzy-rosidl-generator-py	0.22.2-1noble.20260412.030620
ros-jazzy-rosidl-generator-rs	0.4.11-1noble.20260412.030734
ros-jazzy-rosidl-generator-type-description	4.6.7-1noble.20260412.025231
ros-jazzy-rosidl-parser	4.6.7-1noble.20260225.230105
ros-jazzy-rosidl-pycommon	4.6.7-1noble.20260226.000402
ros-jazzy-rosidl-runtime-c	4.6.7-1noble.20260226.002400
ros-jazzy-rosidl-runtime-cpp	4.6.7-1noble.20260226.003416
ros-jazzy-rosidl-runtime-py	0.13.1-2noble.20260226.000416
ros-jazzy-rosidl-typesupport-c	3.2.2-1noble.20260412.030231
ros-jazzy-rosidl-typesupport-cpp	3.2.2-1noble.20260412.030737
ros-jazzy-rosidl-typesupport-fastrtps-c	3.6.3-1noble.20260412.030624
ros-jazzy-rosidl-typesupport-fastrtps-cpp	3.6.3-1noble.20260412.030048
ros-jazzy-rosidl-typesupport-interface	4.6.7-1noble.20260225.225451
ros-jazzy-rosidl-typesupport-introspection-c	4.6.7-1noble.20260412.025838
ros-jazzy-rosidl-typesupport-introspection-cpp	4.6.7-1noble.20260412.030123
ros-jazzy-rpyutils	0.4.2-1noble.20260225.142204
ros-jazzy-rqt-action	2.2.1-1noble.20260412.060445
ros-jazzy-rqt-bag	1.5.6-1noble.20260412.063147
ros-jazzy-rqt-bag-plugins	1.5.6-1noble.20260412.071952
ros-jazzy-rqt-common-plugins	1.2.0-4noble.20260412.072437
ros-jazzy-rqt-console	2.2.2-1noble.20260412.053839
ros-jazzy-rqt-graph	1.5.6-1noble.20260412.053847
ros-jazzy-rqt-gui	1.6.3-1noble.20260412.052948
ros-jazzy-rqt-gui-cpp	1.6.3-1noble.20260412.042715
ros-jazzy-rqt-gui-py	1.6.3-1noble.20260412.053546
ros-jazzy-rqt-image-view	1.3.0-2noble.20260412.053350
ros-jazzy-rqt-msg	1.5.2-1noble.20260412.053912
ros-jazzy-rqt-plot	1.4.5-1noble.20260412.053903
ros-jazzy-rqt-publisher	1.7.3-1noble.20260412.053850
ros-jazzy-rqt-py-common	1.6.3-1noble.20260412.042316
ros-jazzy-rqt-py-console	1.2.3-1noble.20260412.053858
ros-jazzy-rqt-reconfigure	1.6.4-1noble.20260412.053918
ros-jazzy-rqt-service-caller	1.2.2-1noble.20260412.063251
ros-jazzy-rqt-shell	1.2.3-1noble.20260412.053911
ros-jazzy-rqt-srv	1.2.3-1noble.20260412.060417
ros-jazzy-rqt-topic	1.7.5-1noble.20260412.060341
ros-jazzy-rsl	1.3.0-1noble.20260412.052851
ros-jazzy-rttest	0.17.1-3noble.20260225.225641
ros-jazzy-ruckig	0.9.2-5noble.20260225.142307
ros-jazzy-rviz-assimp-vendor	14.1.20-2noble.20260225.225641
ros-jazzy-rviz-common	14.1.20-2noble.20260412.044615
ros-jazzy-rviz-default-plugins	14.1.20-2noble.20260412.054746
ros-jazzy-rviz-ogre-vendor	14.1.20-2noble.20260225.225644
ros-jazzy-rviz-rendering	14.1.20-2noble.20260412.025918
ros-jazzy-rviz2	14.1.20-2noble.20260412.070714
ros-jazzy-sdformat-urdf	1.0.2-1noble.20260412.030020
ros-jazzy-sdformat-vendor	0.0.11-1noble.20260226.001417
ros-jazzy-sdl2-vendor	3.3.0-3noble.20260225.225708
ros-jazzy-sensor-msgs	5.3.7-1noble.20260412.034842
ros-jazzy-sensor-msgs-py	5.3.7-1noble.20260412.035802
ros-jazzy-service-msgs	2.0.3-1noble.20260412.031935
ros-jazzy-shape-msgs	5.3.7-1noble.20260412.035632
ros-jazzy-simulation-interfaces	1.5.0-1noble.20260412.034853
ros-jazzy-spdlog-vendor	1.6.1-1noble.20260225.225958
ros-jazzy-sqlite3-vendor	0.26.10-2noble.20260408.222053
ros-jazzy-srdfdom	2.0.7-1noble.20260412.053212
ros-jazzy-sros2	0.13.6-1noble.20260412.042622
ros-jazzy-sros2-cmake	0.13.6-1noble.20260412.053208
ros-jazzy-state-interfaces-broadcaster	4.39.0-1noble.20260412.065246
ros-jazzy-statistics-msgs	2.0.3-1noble.20260412.033131
ros-jazzy-std-msgs	5.3.7-1noble.20260412.033140
ros-jazzy-std-srvs	5.3.7-1noble.20260412.033137
ros-jazzy-steering-controllers-library	4.39.0-1noble.20260412.065256
ros-jazzy-stereo-msgs	5.3.7-1noble.20260412.035620
ros-jazzy-stomp	0.1.2-4noble.20260225.143151
ros-jazzy-tango-icons-vendor	0.3.1-1noble.20260225.230515
ros-jazzy-tcb-span	1.2.0-1noble.20260304.072946
ros-jazzy-teleop-twist-joy	2.6.5-1noble.20260412.052507
ros-jazzy-teleop-twist-keyboard	2.4.1-1noble.20260412.052948
ros-jazzy-tf-transformations	1.1.1-1noble.20260225.142630
ros-jazzy-tf2	0.36.20-1noble.20260412.034858
ros-jazzy-tf2-bullet	0.36.20-1noble.20260412.051516
ros-jazzy-tf2-eigen	0.36.20-1noble.20260412.051518
ros-jazzy-tf2-eigen-kdl	0.36.20-1noble.20260412.040107
ros-jazzy-tf2-geometry-msgs	0.36.20-1noble.20260412.053505
ros-jazzy-tf2-kdl	0.36.20-1noble.20260412.053442
ros-jazzy-tf2-msgs	0.36.20-1noble.20260412.034900
ros-jazzy-tf2-py	0.36.20-1noble.20260412.052955
ros-jazzy-tf2-ros	0.36.20-1noble.20260412.044056
ros-jazzy-tf2-ros-py	0.36.20-1noble.20260412.053403
ros-jazzy-tf2-sensor-msgs	0.36.20-1noble.20260412.053455
ros-jazzy-tf2-tools	0.36.20-1noble.20260412.053524
ros-jazzy-theora-image-transport	4.0.6-1noble.20260412.044142
ros-jazzy-tinyxml2-vendor	0.9.2-1noble.20260225.230621
ros-jazzy-tl-expected	1.2.0-1noble.20260225.230700
ros-jazzy-tlsf	0.9.0-3noble.20260225.230709
ros-jazzy-tlsf-cpp	0.17.1-3noble.20260412.050239
ros-jazzy-topic-monitor	0.33.10-1noble.20260412.043450
ros-jazzy-topic-tools	1.3.3-1noble.20260412.044115
ros-jazzy-topic-tools-interfaces	1.3.3-1noble.20260412.033140
ros-jazzy-tracetools	8.2.5-1noble.20260226.001709
ros-jazzy-trajectory-msgs	5.3.7-1noble.20260412.034949
ros-jazzy-transmission-interface	4.44.0-1noble.20260412.054049
ros-jazzy-tricycle-controller	4.39.0-1noble.20260412.065359
ros-jazzy-tricycle-steering-controller	4.39.0-1noble.20260412.065959
ros-jazzy-turtlesim	1.8.3-1noble.20260412.043332
ros-jazzy-type-description-interfaces	2.0.3-1noble.20260412.032338
ros-jazzy-uncrustify-vendor	3.0.1-1noble.20260225.230730
ros-jazzy-unique-identifier-msgs	2.5.0-3noble.20260412.031407
ros-jazzy-urdf	2.10.0-3noble.20260412.025422
ros-jazzy-urdf-parser-plugin	2.10.0-3noble.20260226.001913
ros-jazzy-urdfdom	4.0.2-1noble.20260225.232653
ros-jazzy-urdfdom-headers	1.1.2-1noble.20260225.142752
ros-jazzy-urdfdom-py	1.2.1-3noble.20260412.042521
ros-jazzy-velocity-controllers	4.39.0-1noble.20260412.065514
ros-jazzy-vision-msgs	4.1.1-3noble.20260412.035702
ros-jazzy-visualization-msgs	5.3.7-1noble.20260412.035359
ros-jazzy-warehouse-ros	2.0.5-1noble.20260412.054120
ros-jazzy-xacro	2.1.1-1noble.20260412.025231
ros-jazzy-yaml-cpp-vendor	9.0.1-1noble.20260225.230938
ros-jazzy-zstd-image-transport	4.0.6-1noble.20260412.065633
ros-jazzy-zstd-vendor	0.26.10-2noble.20260408.222105
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
rsyslog	8.2312.0-3ubuntu9.3
ruby	1:3.2~ubuntu1
ruby-net-telnet	0.2.0-1
ruby-rubygems	3.4.20-1
ruby-sdbm:amd64	1.0.0-5build4
ruby-webrick	1.8.1-1ubuntu0.2
ruby-xmlrpc	0.3.2-2
ruby3.2	3.2.3-1ubuntu0.24.04.8
rubygems-integration	1.18
run-one	1.17-0ubuntu2
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
session-migration	0.3.9build1
sgml-base	1.31
shared-mime-info	2.4-4
shiboken2	5.15.13-1
show-motd	3.12
sip-dev	4.19.25+dfsg-5build3
snapd	2.76+ubuntu24.04.1
software-properties-common	0.99.49.1
spirv-headers	1.6.1+1.4.309.0-1~ubuntu0.24.04.2
spirv-tools	2025.1~rc1-1~ubuntu0.24.04.2
squashfs-tools	1:4.6.1-1build1
sudo	1.9.15p5-3ubuntu5.24.04.2
systemd	255.4-1ubuntu8.17
systemd-dev	255.4-1ubuntu8.17
systemd-hwe-hwdb	255.1.4
systemd-resolved	255.4-1ubuntu8.17
systemd-sysv	255.4-1ubuntu8.17
systemd-timesyncd	255.4-1ubuntu8.17
sysvinit-utils	3.08-6ubuntu3
tango-icon-theme	0.8.90-11
tar	1.35+dfsg-3ubuntu0.4
tcl	8.6.14build1
tcl-dev:amd64	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
tcl8.6-dev:amd64	8.6.14+dfsg-1build1
time	1.9-0.2build1
tk	8.6.14build1
tk-dev:amd64	8.6.14build1
tk8.6	8.6.14-1build1
tk8.6-blt2.5	2.5.3+dfsg-7build1
tk8.6-dev:amd64	8.6.14-1build1
tmux	3.4-1ubuntu0.1
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
ubuntu-minimal	1.539.1
ubuntu-mono	24.04-0ubuntu1
ubuntu-pro-client	37.2ubuntu~24.04.1
ubuntu-pro-client-l10n	37.2ubuntu~24.04.1
ubuntu-release-upgrader-core	1:24.04.23
ubuntu-wsl	1.539.1
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.17
unattended-upgrades	2.9.1+nmu4ubuntu1
uncrustify	0.78.1+dfsg1-1
unicode-data	15.1.0-1
unixodbc-common	2.3.12-1ubuntu0.24.04.1
unixodbc-dev:amd64	2.3.12-1ubuntu0.24.04.1
unzip	6.0-28ubuntu4.1
update-manager-core	1:24.04.9
update-motd	3.12
usb-modeswitch	2.6.1-3ubuntu3
usb-modeswitch-data	20191128-6
usb.ids	2024.03.18-1
util-linux	2.39.3-9ubuntu6.5
